Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:28 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247222197747722 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:29 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247225796591646 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:29 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247226636369990 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:30 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247227739603017 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:30 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247227840266271 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:35 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247252691517488 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:36 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247254448275499 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:36 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247255953899520 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:37 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247257380487168 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:37 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247259192164382 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:37 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247260652044338 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:38 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247263026020382 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:38 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247265353859154 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:39 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247266863022091 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:40 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247270001016873 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:40 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247271934328832 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:53 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247327726698556 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:54 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247329848885309 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:54 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247331417423872 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:55 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247333174968380 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:55 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247335217463316 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:11:55 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247336585855037 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:01 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247359411388416 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:01 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247361209958431 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:02 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247362711257118 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:02 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247364644700180 | Message Content: 
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:15 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247418567721010 | Message Content: <@!514835126220226580> <@!639960189377708047> <@!616032766974361640> <@!380914146629255169>
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:16 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247422430412810 | Message Content: <@!514835126220226580> <@!639960189377708047> <@!616032766974361640> <@!380914146629255169>
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:16 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247424074579968 | Message Content: <@!514835126220226580> <@!639960189377708047> <@!616032766974361640> <@!380914146629255169>
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:17 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247425995440128 | Message Content: <@!514835126220226580> <@!639960189377708047> <@!616032766974361640> <@!380914146629255169>
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:17 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247428259708958 | Message Content: <@!514835126220226580> <@!639960189377708047> <@!616032766974361640> <@!380914146629255169>
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:18 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247429934153758 | Message Content: <@!514835126220226580> <@!639960189377708047> <@!616032766974361640> <@!380914146629255169>
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:18 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247431388921887 | Message Content: <@!514835126220226580> <@!639960189377708047> <@!616032766974361640> <@!380914146629255169>
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:19 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247433222225920 | Message Content: <@!514835126220226580> <@!639960189377708047> <@!616032766974361640> <@!380914146629255169>
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:19 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247435369709621 | Message Content: <@!514835126220226580> <@!639960189377708047> <@!616032766974361640> <@!380914146629255169>
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:19 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247436963676193 | Message Content: <@!514835126220226580> <@!639960189377708047> <@!616032766974361640> <@!380914146629255169>
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:25 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247461152489502 | Message Content: <@!514835126220226580> <@!639960189377708047> <@!616032766974361640> <@!380914146629255169>
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:26 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247463492124692 | Message Content: <@!514835126220226580> <@!639960189377708047> <@!616032766974361640> <@!380914146629255169>
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:26 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247466629201940 | Message Content: <@!514835126220226580> <@!639960189377708047> <@!616032766974361640> <@!380914146629255169>
Author Name: Typical | Author Nickname: None | Author ID: 676120993554759696 | Sent At: 2021-03-30 00:12:27 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 826247467561517186 | Message Content: <@!514835126220226580> <@!639960189377708047> <@!616032766974361640> <@!380914146629255169>
