Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:13 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774960586227714 | Message Content: I did warn them
Author Name: BlaZe | Author Nickname: None | Author ID: 540303024078192661 | Sent At: 2020-11-30 01:08:15 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774967594254376 | Message Content: Pls level BLANK#7086
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:15 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774968941019137 | Message Content: pls use phallic
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:15 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774969091883069 | Message Content: 
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:16 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774970584793119 | Message Content: Who do you want to give your 'little pink surprise' to? You have 30 seconds to respond with a valid user.
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:16 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774972930064455 | Message Content: <@540303024078192661>
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:17 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774974049812541 | Message Content: Alright, BlaZe is gonna be in for a treat when they check their inventory :flushed:
Author Name: "Jasmine Rice" | Author Nickname: Jasmine (jasper) | Author ID: 514835126220226580 | Sent At: 2020-11-30 01:08:17 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774977841463306 | Message Content: pls enable rob
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:18 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774978562228244 | Message Content: The following commands/categories have been enabled successfully:

`steal`
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:21 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774993146740757 | Message Content: pls use phallic
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:21 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774994538463293 | Message Content: Who do you want to give your 'little pink surprise' to? You have 30 seconds to respond with a valid user.
Author Name: BlaZe | Author Nickname: None | Author ID: 540303024078192661 | Sent At: 2020-11-30 01:08:21 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774994697715742 | Message Content: Pls rob BLANK#7086
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:22 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774996615036968 | Message Content: You try to steal from BLANK only to notice that they've got a massive padlock on their wallet! You didn't bring your bolt cutters with you, and ended up getting caught by the police, losing **250** coins.
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:22 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774997075755008 | Message Content: <@540303024078192661>
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:22 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782774998820454412 | Message Content: Alright, BlaZe is gonna be in for a treat when they check their inventory :flushed:
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:26 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775013908545566 | Message Content: Pls disable rob
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:26 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775014843219978 | Message Content: The following commands/categories have been disabled successfully:

`steal`
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:27 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775018010050590 | Message Content: pls use phallic
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:27 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775018945642516 | Message Content: Who do you want to give your 'little pink surprise' to? You have 30 seconds to respond with a valid user.
Author Name: BlaZe | Author Nickname: None | Author ID: 540303024078192661 | Sent At: 2020-11-30 01:08:27 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775019238719499 | Message Content: 😡
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:28 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775021540999196 | Message Content: <@540303024078192661>
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:28 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775023416901643 | Message Content: Alright, BlaZe is gonna be in for a treat when they check their inventory :flushed:
Author Name: BlaZe | Author Nickname: None | Author ID: 540303024078192661 | Sent At: 2020-11-30 01:08:30 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775029317369886 | Message Content: 😡
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:32 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775040222560296 | Message Content: Pls use padlock
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:32 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775040558104597 | Message Content: You can't use this item, you've already used it and it's active right now!
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:33 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775042698248222 | Message Content: pls use phallic
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:34 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775045445124119 | Message Content: Who do you want to give your 'little pink surprise' to? You have 30 seconds to respond with a valid user.
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:34 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775047722631228 | Message Content: <@540303024078192661>
