Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:54 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700821448097833 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:55 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700825639125062 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:56 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700829090906162 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:57 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700832080658473 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:58 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700835389702144 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:58 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700838501875714 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:59 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700841493200896 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:00 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700844680085545 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:00 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700847231401994 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:03 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700859167211550 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:03 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700859596210208 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:04 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700860409643089 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:04 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700861747494913 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:04 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700862640357376 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:05 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700865270972466 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:06 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700868957765682 | Message Content: oof
